,Entities,Labels,Position_Start,Position_End
0,chronic obstructive pulmonary disease copd,DISEASE,0,42
1,death,DISEASE,49,54
3,copd,DISEASE,188,192
9,dyspnea,DISEASE,2353,2360
10,cough,DISEASE,2369,2374
11,copd pulmonary function,DISEASE,2428,2451
13,respiratory tract infection,DISEASE,2759,2786
14,chronic unstable disease system malignancy,DISEASE,2844,2886
19,obstructive pulmonary disease,DISEASE,3778,3807
21,copd airflow,DISEASE,4528,4540
25,hypertension,DISEASE,5203,5215
26,atherosclerotic heart disease,DISEASE,5231,5260
27,bronchiectasis,DISEASE,5346,5360
43,respiratory doctor small number,DISEASE,7515,7546
45,critically ill,DISEASE,8467,8481
46,chronic disease community,DISEASE,8683,8708
47,chronic disease,DISEASE,8774,8789
57,respiratory muscle reset sensitivity respiratory center co improve sleep quality,DISEASE,11795,11875
60,hypercapnia,DISEASE,12347,12358
65,copd p,DISEASE,12620,12626
69,pneumococcal disease,DISEASE,13489,13509
72,hypertension diabetes copd,DISEASE,13806,13832
73,pneumonia,DISEASE,13844,13853
80,copd asthma steroidrelated,DISEASE,15647,15673
84,cellsμl,DISEASE,16046,16053
103,reduction ae frequency helped maintain lung function,DISEASE,17527,17579
112,coronavirus disease,DISEASE,0,19
113,covid selflimiting disease,DISEASE,20,46
115,acute respiratory syndrome coronavirus sarscov nucleic acid,DISEASE,338,397
116,fever cough shortness breath,DISEASE,425,453
117,infection,DISEASE,516,525
118,presymptomatic severe presymptomatic covid,DISEASE,940,982
119,presymptomatic nonsevere presymptomatic covid,DISEASE,1328,1373
123,coronavirus pneumonia,DISEASE,2331,2352
127,respiratory distress,DISEASE,2702,2722
131,respiratory failure,DISEASE,2844,2863
132,shock,DISEASE,2897,2902
133,organ failure,DISEASE,2922,2935
134,hypertension diabetes cardiovascular disease cerebrovascular disease cancer chronic obstructive pulmonary disease,DISEASE,3282,3395
135,kidney disease,DISEASE,3404,3418
136,liver disease immunodeficiency,DISEASE,3427,3457
138,illness respectively commonest symptom symptomatic patient disease,DISEASE,5569,5635
139,admission fever n cough n shortness breath,DISEASE,5651,5693
140,respiratory distress fatigue,DISEASE,5694,5722
141,muscle soreness,DISEASE,5803,5818
142,diarrhea,DISEASE,5821,5829
143,headache,DISEASE,5832,5840
144,dizziness,DISEASE,5843,5852
145,nausea n vomiting,DISEASE,5855,5872
148,hypertension diabetes,DISEASE,6057,6078
149,groundglass opacity,DISEASE,6828,6847
150,pleural thickening,DISEASE,7049,7067
151,pleural effusion,DISEASE,7170,7186
155,liver kidney common,DISEASE,8086,8105
156,heart liver function,DISEASE,8145,8165
160,lymphocytopenia,DISEASE,10121,10136
163,nonseverely ill,DISEASE,11479,11494
164,pandemic sarscov infection,DISEASE,12108,12134
166,heart liver kidney,DISEASE,13148,13166
167,abnormal c abnormal rate organ including heart liver kidney fold normal range d value laboratory indicator admission vertical axis indicates,DISEASE,13209,13349
169,respiratory distress syndrome,DISEASE,14776,14805
170,sepsis congestive heart failure,DISEASE,14806,14837
172,lower respiratory tract infection,DISEASE,14992,15025
173,bacterial spectrum pulmonary coinfections superinfection,DISEASE,15195,15251
176,tumor necrosis,DISEASE,15633,15647
177,presymptomatic nonsevere presymptomatic patient based laboratory,DISEASE,16902,16966
178,stage disease,DISEASE,17134,17147
179,bronchopulmonary dysplasia,DISEASE,40,66
180,neurodevelopmental impairment,DISEASE,373,402
181,lung injury alveolar growth arrest,DISEASE,607,641
184,fibrosis,DISEASE,1416,1424
189,death bpddeath,DISEASE,2938,2952
192,chorioamnionitis,DISEASE,3797,3813
193,infection sepsis,DISEASE,3842,3858
195,intraventricular hemorrhage,DISEASE,4044,4071
196,congenital malformation,DISEASE,4364,4387
197,heart defect,DISEASE,4418,4430
198,pulmonary malformation,DISEASE,4439,4461
200,sepsis,DISEASE,5350,5356
209,pulmonary hyperperfusion,DISEASE,8979,9003
210,cardiac failure,DISEASE,9458,9473
211,pulmonary hypertension,DISEASE,9654,9676
213,pulmonary vasoconstriction pulmonary hypertension,DISEASE,10445,10494
215,tracheal aspirate preterm infant dol subsequently developed bpd study,DISEASE,10822,10891
221,processing storage blood sample measurement biomarkers sm supervised study,DISEASE,13615,13689
222,covid infection,DISEASE,55,70
223,cardiovascular system liver kidney coagulation,DISEASE,177,223
224,acute respiratory infection,DISEASE,317,344
225,diabetes mellitus cerebrovascular cardiovascular pulmonary disease,DISEASE,458,524
226,cardiovascular disease diabetes mellitus,DISEASE,586,626
227,obesity,DISEASE,639,646
228,respiratory dysfunction,DISEASE,708,731
229,obesity dysfunction,DISEASE,739,758
231,pneumonia pulmonary hypertension,DISEASE,921,953
241,overweight obesity,DISEASE,1730,1748
244,covid lung involvement oropharyngeal nasopharyngeal swab sample taken patient rtpcr test performed rna extracted commercial kit biospeedy nucleic acid,DISEASE,2971,3121
